品名,别名,CAS号
间异丙基苯酚,,618-45-1
碱土金属汞齐,,
焦硫酸汞,,1537199-53-3
焦砷酸,,13453-15-1
焦油酸,,
金属锆,,7440-67-7
金属锆粉[干燥的],锆粉,
金属铪粉,铪粉,7440-58-6
金属镧[浸在煤油中的],,7439-91-0
金属锰粉[含水≥25%],锰粉,7439-96-5
金属钕[浸在煤油中的],,7440-00-8
金属铷,铷,7440-17-7
金属铯,铯,7440-46-2
金属锶,锶,7440-24-6
金属钛粉[干的],,7440-32-6
金属钛粉[含水不低于25%，机械方法生产的，粒径小于53 微米；化学方法生产的，粒径小于840 微米],,
精蒽,,120-12-7
肼水溶液[含肼≤64%],,
酒石酸化烟碱,,65-31-6
酒石酸锑钾,吐酒石；酒石酸钾锑；酒石酸氧锑钾,28300-74-5
聚苯乙烯珠体[可发性的],,
"聚醚聚过氧叔丁基碳酸酯[含量≤52%,含B型稀释剂≥48%]",,
聚乙醛,,9002-91-9
聚乙烯聚胺,多乙烯多胺；多乙撑多胺,29320-38-5
2-莰醇,冰片；龙脑,507-70-0
莰烯,樟脑萜；莰芬,79-92-5
糠胺,2-呋喃甲胺；麸胺,617-89-0
糠醛,呋喃甲醛,35796
抗霉素A,,1397-94-0
氪[压缩的或液化的],,7439-90-9
喹啉,苯并吡啶；氮杂萘,91-22-5
雷汞[湿的，按质量含水或乙醇和水的混合物不低于20％],二雷酸汞；雷酸汞,628-86-4
锂,金属锂,7439-93-2
连二亚硫酸钙,,15512-36-4
连二亚硫酸钾,低亚硫酸钾,14293-73-3
连二亚硫酸钠,保险粉；低亚硫酸钠,7775-14-6
连二亚硫酸锌,亚硫酸氢锌,7779-86-4
联苯,,92-52-4
"3-[(3-联苯-4-基)-1,2,3,4-四氢-1-萘基]-4-羟基香豆素",鼠得克,56073-07-5
联十六烷基过氧重碳酸酯[含量≤100%],过氧化二(十六烷基)二碳酸酯,26322-14-5
"联十六烷基过氧重碳酸酯[含量≤42%,在水中稳定弥散]",,
镰刀菌酮X,,23255-69-8
邻氨基苯硫醇,2-氨基硫代苯酚；2-巯基胺；邻氨基苯硫酚苯,137-07-5
邻苯二甲酸苯胺,,50930-79-5
邻苯二甲酸二异丁酯,,84-69-5
邻苯二甲酸酐[含马来酸酐大于0.05%],苯酐；酞酐,85-44-9
邻苯二甲酰氯,二氯化邻苯二甲酰,88-95-9
邻苯二甲酰亚胺,酞酰亚胺,85-41-6
邻甲苯磺酰氯,,133-59-5
邻硝基苯酚钾,邻硝基酚钾,824-38-4
邻硝基苯磺酸,,80-82-0
邻硝基乙苯,,612-22-6
邻异丙基苯酚,邻异丙基酚,88-69-7
磷化钙,二磷化三钙,1305-99-3
磷化钾,,20770-41-6
磷化铝,,20859-73-8
磷化铝镁,,
磷化镁,二磷化三镁,12057-74-8
磷化钠,,12058-85-4
磷化氢,磷化三氢；膦,7803-51-2
磷化锶,,12504-13-1
磷化锡,,25324-56-5
磷化锌,,1314-84-7
磷酸二乙基汞,谷乐生；谷仁乐生；乌斯普龙汞制剂,2235-25-8
磷酸三甲苯酯,磷酸三甲酚酯；增塑剂TCP,1330-78-5
磷酸亚铊,,13453-41-3
9-磷杂双环壬烷,环辛二烯膦,
膦酸,,10294-56-1
"β,β'-硫代二丙腈",,111-97-7
2-硫代呋喃甲醇,糠硫醇,35828
硫代甲酰胺,,115-08-2
硫代磷酰氯,硫代氯化磷酰；三氯化硫磷；三氯硫磷,3982-91-0
硫代氯甲酸乙酯,氯硫代甲酸乙酯,2941-64-2
4-硫代戊醛,甲基巯基丙醛,3268-49-3
硫代乙酸,硫代醋酸,507-09-5
硫代异氰酸甲酯,异硫氰酸甲酯；甲基芥子油,556-61-6
硫化铵溶液,,
硫化钡,,21109-95-5
硫化镉,,1306-23-6
硫化汞,朱砂,1344-48-5
硫化钾,硫化二钾,1312-73-8
硫化钠,臭碱,1313-82-2
硫化氢,,2148878
硫磺,硫,7704-34-9
硫脲,硫代尿素,62-56-6
硫氢化钙,,12133-28-7
硫氢化钠,氢硫化钠,16721-80-5
硫氰酸苄,硫氰化苄；硫氰酸苄酯,3012-37-1
硫氰酸钙,硫氰化钙,2092-16-2
硫氰酸汞,,592-85-8
硫氰酸汞铵,,20564-21-0
硫氰酸汞钾,,14099-12-8
硫氰酸甲酯,,556-64-9
硫氰酸乙酯,,542-90-5
硫氰酸异丙酯,,625-59-2
硫酸,,7664-93-9
"硫酸-2,4-二氨基甲苯","2,4-二氨基甲苯硫酸",65321-67-7
"硫酸-2,5-二氨基甲苯","2,5-二氨基甲苯硫酸",615-50-9
"硫酸-2,5-二乙氧基-4-(4-吗啉基)-重氮苯",,32178-39-5
"硫酸-4,4'-二氨基联苯",硫酸联苯胺；联苯胺硫酸,531-86-2
"硫酸-4-氨基-N,N-二甲基苯胺","N,N-二甲基对苯二胺硫酸；对氨基-N,N-二甲基苯胺硫酸",536-47-0
硫酸苯胺,,542-16-5
硫酸苯肼,苯肼硫酸,2545-79-1
硫酸对苯二胺,硫酸对二氨基苯,16245-77-5
硫酸二甲酯,硫酸甲酯,77-78-1
硫酸二乙酯,硫酸乙酯,64-67-5
硫酸镉,,10124-36-4
硫酸汞,硫酸高汞,7783-35-9
硫酸钴,,10124-43-3
硫酸间苯二胺,硫酸间二氨基苯,541-70-8
硫酸马钱子碱,二甲氧基士的宁硫酸盐,4845-99-2
硫酸镍,,7786-81-4
硫酸铍,,13510-49-1
硫酸铍钾,,53684-48-3
硫酸铅[含游离酸＞3%],,7446-14-2
硫酸羟胺,硫酸胲,10039-54-0
"硫酸氢-2-(N-乙羰基甲按基)-4-(3,4-二甲基苯磺酰)重氮苯",,
硫酸氢铵,酸式硫酸铵,7803-63-6
硫酸氢钾,酸式硫酸钾,7646-93-7
硫酸氢钠,酸式硫酸钠,7681-38-1
硫酸氢钠溶液,酸式硫酸钠溶液,
硫酸三乙基锡,,57-52-3
硫酸铊,硫酸亚铊,7446-18-6
硫酸亚汞,,7783-36-0
硫酸氧钒,硫酸钒酰,27774-13-6
硫酰氟,氟化磺酰,2699-79-8
"六氟-2,3-二氯-2-丁烯","2,3-二氯六氟-2-丁烯",303-04-8
六氟丙酮,全氟丙酮,684-16-2
六氟丙酮水合物,全氟丙酮水合物；水合六氟丙酮,13098-39-0
六氟丙烯,全氟丙烯,116-15-4
六氟硅酸镁,氟硅酸镁,16949-65-8
六氟合硅酸钡,氟硅酸钡,17125-80-3
六氟合硅酸锌,氟硅酸锌,16871-71-9
六氟合磷氢酸[无水],六氟代磷酸,16940-81-1
六氟化碲,,7783-80-4
六氟化硫,,2551-62-4
六氟化钨,,7783-82-6
六氟化硒,,7783-79-1
六氟乙烷,R116；全氟乙烷,76-16-4
"3,3,6,6,9,9-六甲基-1,2,4,5-四氧环壬烷[含量52%～100%]",,22397-33-7
"3,3,6,6,9,9-六甲基-1,2,4,5-四氧环壬烷[含量≤52%,含A型稀释剂≥48%]",,
"3,3,6,6,9,9-六甲基-1,2,4,5-四氧环壬烷[含量≤52%,含B型稀释剂≥48%]",,
六甲基二硅醚,六甲基氧二硅烷,107-46-0
六甲基二硅烷,,1450-14-2
六甲基二硅烷胺,六甲基二硅亚胺,999-97-3
"六氢-3a,7a-二甲基-4,7-环氧异苯并呋喃-1,3-二酮",斑蝥素,56-25-7
"六氯-1,3-丁二烯","六氯丁二烯；全氯-1,3-丁二烯",87-68-3
"(1R,4S,4aS,5R,6R,7S,8S,8aR)-1,2,3,4,10,10-六氯-1,4,4a,5,6,7,8,8a-八氢-6,7-环氧-1,4,5,8-二亚甲基萘[含量2%～90%]",狄氏剂,60-57-1
"(1R,4S,5R,8S)-1,2,3,4,10,10-六氯-1,4,4a,5,6,7,8,8a-八氢-6,7-环氧-1,4；5,8-二亚甲基萘[含量＞5%]",异狄氏剂,72-20-8
"1,2,3,4,10,10-六氯-1,4,4a,5,8,8a-六氢-1,4-挂-5,8-挂二亚甲基萘[含量＞10%]",异艾氏剂,465-73-6
"1,2,3,4,10,10-六氯-1,4,4a,5,8,8a-六氢-1,4：5,8-桥,挂-二甲撑萘[含量＞75%]",六氯-六氢-二甲撑萘；艾氏剂,309-00-2
"(1,4,5,6,7,7-六氯-8,9,10-三降冰片-5-烯-2,3-亚基双亚甲基)亚硫酸酯","1,2,3,4,7,7-六氯双环[2,2,1]庚烯-(2)-双羟甲基-5,6-亚硫酸酯；硫丹",115-29-7
六氯苯,六氯代苯；过氯苯；全氯代苯,118-74-1
六氯丙酮,,116-16-5
六氯环戊二烯,全氯环戊二烯,77-47-4
α-六氯环己烷,,319-84-6
β-六氯环己烷,,319-85-7
"γ-(1,2,4,5/3,6)-六氯环己烷",林丹,58-89-9
"1,2,3,4,5,6-六氯环己烷 ",六氯化苯；六六六,608-73-1
六氯乙烷,全氯乙烷；六氯化碳,67-72-1
"六硝基-1,2-二苯乙烯",六硝基芪,20062-22-0
六硝基二苯胺,六硝炸药；二苦基胺,131-73-7
六硝基二苯胺铵盐,曙黄,2844-92-0
六硝基二苯硫,二苦基硫,28930-30-5
六溴二苯醚,,36483-60-0
"2,2’,4,4’,5,5’-六溴二苯醚",,68631-49-2
"2,2’,4,4’,5,6’-六溴二苯醚",,207122-15-4
六溴环十二烷,,
六溴联苯,,36355-01-8
六亚甲基二异氰酸酯,"六甲撑二异氰酸酯；1,6-二异氰酸己烷；己撑二异氰酸酯；1,6-己二异氰酸酯",822-06-0
"N,N-六亚甲基硫代氨基甲酸-S-乙酯 ",禾草敌,2212-67-1
六亚甲基四胺,六甲撑四胺；乌洛托品,100-97-0
六亚甲基亚胺,高哌啶,111-49-9
铝粉,,7429-90-5
铝镍合金氢化催化剂,,
铝酸钠[固体],,1302-42-7
铝酸钠[溶液],,
铝铁熔剂,,
氯,液氯；氯气,7782-50-5
"1-氯-1,1-二氟乙烷",R142；二氟氯乙烷,75-68-3
"3-氯-1,2-丙二醇","α-氯代丙二醇；3-氯-1,2-二羟基丙烷；α-氯甘油；3-氯代丙二醇",96-24-2
"2-氯-1,3-丁二烯[稳定的]",氯丁二烯,126-99-8
2-氯-1-丙醇,2-氯-1-羟基丙烷,78-89-7
3-氯-1-丙醇,三亚甲基氯醇,627-30-5
3-氯-1-丁烯,,563-52-0
1-氯-1-硝基丙烷,1-硝基-1-氯丙烷,600-25-9
2-氯-1-溴丙烷,1-溴-2-氯丙烷,3017-96-7
"1-氯-2,2,2-三氟乙烷",R133a,75-88-7
"1-氯-2,3-环氧丙烷","环氧氯丙烷；3-氯-1,2-环氧丙烷",106-89-8
"1-氯-2,4-二硝基苯","2,4-二硝基氯苯",97-00-7
4-氯-2-氨基苯酚,2-氨基-4-氯苯酚；对氯邻氨基苯酚,95-85-2
1-氯-2-丙醇,氯异丙醇；丙氯仲醇,127-00-4
1-氯-2-丁烯,,591-97-9
5-氯-2-甲基苯胺,5-氯邻甲苯胺；2-氨基-4-氯甲苯,95-79-4
"N-(4-氯-2-甲基苯基)-N´,N´-二甲基甲脒",杀虫脒,6164-98-3
3-氯-2-甲基丙烯,2-甲基-3-氯丙烯；甲基烯丙基氯；氯化异丁烯；1-氯-2-甲基-2-丙烯,563-47-3
2-氯-2-甲基丁烷,叔戊基氯；氯代叔戊烷,594-36-5
5-氯-2-甲氧基苯胺,4-氯-2-氨基苯甲醚,34762
4-氯-2-硝基苯胺,对氯邻硝基苯胺,89-63-4
4-氯-2-硝基苯酚,,89-64-5
4-氯-2-硝基苯酚钠盐,,52106-89-5
4-氯-2-硝基甲苯,对氯邻硝基甲苯,89-59-8
1-氯-2-溴丙烷,2-溴-1-氯丙烷,3017-95-6
1-氯-2-溴乙烷,1-溴-2-氯乙烷；氯乙基溴,107-04-0
4-氯间甲酚,2-氯-5-羟基甲苯；4-氯-3-甲酚,59-50-7
1-氯-3-甲基丁烷,异戊基氯；氯代异戊烷,107-84-6
1-氯-3-溴丙烷,3-溴-1-氯丙烷,109-70-6
"2-氯-4,5-二甲基苯基-N-甲基氨基甲酸酯",氯灭杀威,671-04-5
2-氯-4-二甲氨基-6-甲基嘧啶,鼠立死,535-89-7
3-氯-4-甲氧基苯胺,2-氯-4-氨基苯甲醚；邻氯对氨基苯甲醚,5345-54-0
2-氯-4-硝基苯胺,邻氯对硝基苯胺,121-87-9
氯苯,一氯化苯,108-90-7
2-氯苯胺,邻氯苯胺；邻氨基氯苯,95-51-2
3-氯苯胺,间氨基氯苯；间氯苯胺,108-42-9
4-氯苯胺,对氯苯胺；对氨基氯苯,106-47-8
2-氯苯酚,2-羟基氯苯；2-氯-1-羟基苯；邻氯苯酚；邻羟基氯苯,95-57-8
3-氯苯酚,3-羟基氯苯；3-氯-1-羟基苯；间氯苯酚；间羟基氯苯,108-43-0
4-氯苯酚,4-羟基氯苯；4-氯-1-羟基苯；对氯苯酚；对羟基氯苯,106-48-9
"3-氯苯过氧甲酸[57%＜含量≤86%,惰性固体含量≥14%]",,937-14-4
"3-氯苯过氧甲酸[含量≤57%,惰性固体含量≤3%,含水≥40%]",,
"3-氯苯过氧甲酸[含量≤77%,惰性固体含量≥6%,含水≥17%]",,
"2-[(RS)-2-(4-氯苯基)-2-苯基乙酰基]-2,3-二氢-1,3-茚二酮[含量＞4%]","2-(苯基对氯苯基乙酰)茚满-1,3-二酮；氯鼠酮",3691-35-8
N(3-氯苯基)氨基甲酸(4-氯丁炔-2-基)脂 ,燕麦灵,101-27-9
氯苯基三氯硅烷,,26571-79-9
2-氯苯甲酰氯,邻氯苯甲酰氯；氯化邻氯苯甲酰,609-65-4
4-氯苯甲酰氯,对氯苯甲酰氯；氯化对氯苯甲酰,122-01-0
2-氯苯乙酮,氯乙酰苯；氯苯乙酮；苯基氯甲基甲酮；苯酰甲基氯；α-氯苯乙酮,532-27-4
2-氯吡啶,,109-09-1
4-氯苄基氯,对氯苄基氯；对氯苯甲基氯,104-83-6
3-氯丙腈,β-氯丙腈；氰化-β-氯乙烷,542-76-7
2-氯丙酸,2-氯代丙酸,598-78-7
3-氯丙酸,3-氯代丙酸,107-94-8
2-氯丙酸甲酯,,17639-93-9；
,,77287-29-7
2-氯丙酸乙酯,,535-13-7
3-氯丙酸乙酯,,623-71-2
2-氯丙酸异丙酯,,40058-87-5；
,,79435-04-4
1-氯丙烷,氯正丙烷；丙基氯,540-54-5
2-氯丙烷,氯异丙烷；异丙基氯,75-29-6
2-氯丙烯,异丙烯基氯,557-98-2
3-氯丙烯,α-氯丙烯；烯丙基氯,107-05-1
氯铂酸,,16941-12-1
氯代膦酸二乙酯,氯化磷酸二乙酯,814-49-3
氯代叔丁烷,叔丁基氯；特丁基氯,507-20-0
氯代异丁烷,异丁基氯,513-36-0
氯代正己烷,氯代己烷；己基氯,544-10-5
1-氯丁烷,正丁基氯；氯代正丁烷,109-69-3
2-氯丁烷,仲丁基氯；氯代仲丁烷,78-86-4
氯锇酸铵,氯化锇铵,12125-08-5
氯二氟甲烷和氯五氟乙烷共沸物,R502,
氯二氟溴甲烷,R12B1；二氟氯溴甲烷；溴氯二氟甲烷；哈龙-1211,353-59-3
2-氯氟苯,邻氯氟苯；2-氟氯苯；邻氟氯苯,348-51-6
3-氯氟苯,间氯氟苯；3-氟氯苯；间氟氯苯,625-98-9
4-氯氟苯,对氯氟苯；4-氟氯苯；对氟氯苯,352-33-0
2-氯汞苯酚,,32941
4-氯汞苯甲酸,对氯化汞苯甲酸,59-85-8
氯化铵汞,"白降汞,氯化汞铵",10124-48-8
氯化钡,,10361-37-2
氯化苯汞,,100-56-1
氯化苄,α-氯甲苯；苄基氯,100-44-7
氯化二硫酰,二硫酰氯；焦硫酰氯,7791-27-7
氯化二烯丙托锡弗林,,15180-03-7
氯化二乙基铝,,35344
氯化镉,,10108-64-2
氯化汞,氯化高汞；二氯化汞；升汞,7487-94-7
氯化钴,,7646-79-9
氯化琥珀胆碱,司克林；氯琥珀胆碱；氯化琥珀酰胆碱,71-27-2
氯化环戊烷,,930-28-9
氯化甲基汞,,115-09-3
氯化甲氧基乙基汞,,123-88-6
氯化钾汞,氯化汞钾,20582-71-2
4-氯化联苯,对氯化联苯；联苯基氯,2051-62-9
1-氯化萘,α-氯化萘,90-13-1
氯化镍,氯化亚镍,7718-54-9
氯化铍,,7787-47-5
氯化氢[无水],,7647-01-0
氯化氰,氰化氯；氯甲腈,506-77-4
氯化铜,,7447-39-4
α-氯化筒箭毒碱,氯化南美防己碱；氢氧化吐巴寇拉令碱；氯化箭毒块茎碱；氯化管箭毒碱,57-94-3
氯化硒,二氯化二硒,10025-68-0
氯化锌,,7646-85-7
氯化锌溶液,,
氯化锌-2-(2-羟乙氧基)-1(吡咯烷-1-基)重氮苯,,
氯化锌-2-(N-氧羰基苯氨基)-3-甲氧基-4-(N-甲基环己氨基)重氮苯,,
"氯化锌-2,5-二乙氧基-4-(4-甲苯磺酰)重氮苯",,
"氯化锌-2,5-二乙氧基-4-苯璜酰重氮苯",,
"氯化锌-2,5-二乙氧基-4-吗啉代重氮苯",,26123-91-1
氯化锌-3-(2-羟乙氧基)-4(吡咯烷-1-基)重氮苯,,105185-95-3
氯化锌-3-氯-4-二乙氨基重氮苯,晒图盐BG ,15557-00-3
氯化锌-4-苄甲氨基-3-乙氧基重氮苯,,4421-50-5
氯化锌-4-苄乙氨基-3-乙氧基重氮苯,,21723-86-4
氯化锌-4-二丙氨基重氮苯,,33864-17-4
氯化锌-4-二甲氧基-6-(2-二甲氨乙氧基)-2-重氮甲苯,,
氯化溴,溴化氯,13863-41-7
氯化亚砜,亚硫酰二氯；二氯氧化硫；亚硫酰氯,2125597
氯化亚汞,甘汞,10112-91-1
氯化亚铊,一氯化铊；一氧化二铊,7791-12-0
氯化乙基汞,,107-27-7
氯磺酸,氯化硫酸；氯硫酸,7790-94-5
2-氯甲苯,邻氯甲苯,95-49-8
3-氯甲苯,间氯甲苯,108-41-8
4-氯甲苯,对氯甲苯,106-43-4
氯甲苯胺异构体混合物,,
氯甲基甲醚,甲基氯甲醚；氯二甲醚,107-30-2
氯甲基三甲基硅烷,三甲基氯甲硅烷,2344-80-1
氯甲基乙醚,氯甲基乙基醚,3188-13-4
氯甲酸-2-乙基己酯,,24468-13-1
氯甲酸苯酯,,1885-14-9
氯甲酸苄酯,苯甲氧基碳酰氯,501-53-1
氯甲酸环丁酯,,81228-87-7
氯甲酸甲酯,氯碳酸甲酯,79-22-1
氯甲酸氯甲酯,,22128-62-7
氯甲酸三氯甲酯,双光气,503-38-8
氯甲酸烯丙基酯[稳定的],,2937-50-0
氯甲酸乙酯,氯碳酸乙酯,541-41-3
氯甲酸异丙酯,,108-23-6
氯甲酸异丁酯,,543-27-1
氯甲酸正丙酯,氯甲酸丙酯,109-61-5
氯甲酸正丁酯,氯甲酸丁酯,592-34-7
氯甲酸仲丁酯,,17462-58-7
氯甲烷,R40；甲基氯；一氯甲烷,74-87-3
氯甲烷和二氯甲烷混合物,,
2-氯间甲酚,2-氯-3-羟基甲苯,608-26-4
6-氯间甲酚,4-氯-5-羟基甲苯,615-74-7
4-氯邻甲苯胺盐酸盐,盐酸-4-氯-2-甲苯胺,3165-93-3
"N-(4-氯邻甲苯基)-N,N-二甲基甲脒盐酸盐 ",杀虫脒盐酸盐,19750-95-9
2-氯三氟甲苯,邻氯三氟甲苯,88-16-4
3-氯三氟甲苯,间氯三氟甲苯,98-15-7
4-氯三氟甲苯,对氯三氟甲苯,98-56-6
氯三氟甲烷和三氟甲烷共沸物,R503,
氯四氟乙烷,R124,63938-10-3
氯酸铵,,10192-29-7
氯酸钡,,13477-00-4
氯酸钙,,10137-74-3
氯酸钙溶液,,
氯酸钾,,698078
氯酸钾溶液,,
氯酸镁,,10326-21-3
氯酸钠,,2146053
氯酸钠溶液,,
氯酸溶液[浓度≤10%],,7790-93-4
氯酸铯,,13763-67-2
氯酸锶,,2151926
氯酸铊,,13453-30-0
氯酸铜,,26506-47-8
氯酸锌,,10361-95-2
氯酸银,,7783-92-8
1-氯戊烷,氯代正戊烷,543-59-9
2-氯硝基苯,邻氯硝基苯,88-73-3
3-氯硝基苯,间氯硝基苯,121-73-3
4-氯硝基苯,对氯硝基苯；1-氯-4-硝基苯,100-00-5
氯硝基苯异构体混合物,混合硝基氯化苯；冷母液,25167-93-5
氯溴甲烷,甲撑溴氯；溴氯甲烷,74-97-5
2-氯乙醇,乙撑氯醇；氯乙醇,107-07-3
氯乙腈,氰化氯甲烷；氯甲基氰,107-14-2
氯乙酸,氯醋酸；一氯醋酸,29167
氯乙酸丁酯,氯醋酸丁酯,590-02-3
氯乙酸酐,氯醋酸酐,541-88-8
氯乙酸甲酯,氯醋酸甲酯,96-34-4
氯乙酸钠,,3926-62-3
氯乙酸叔丁酯,氯醋酸叔丁酯,107-59-5
氯乙酸乙烯酯,氯醋酸乙烯酯；乙烯基氯乙酸酯,2549-51-1
氯乙酸乙酯,氯醋酸乙酯,105-39-5
氯乙酸异丙酯,氯醋酸异丙酯,105-48-6
氯乙烷,乙基氯,75-00-3
氯乙烯[稳定的],乙烯基氯,27398
2-氯乙酰-N-乙酰苯胺,邻氯乙酰-N-乙酰苯胺,93-70-9
氯乙酰氯,氯化氯乙酰,28954
4-氯正丁酸乙酯,,3153-36-4
马来酸酐,马来酐；失水苹果酸酐；顺丁烯二酸酐,108-31-6
吗啉,,110-91-8
煤焦酚,杂酚；粗酚,65996-83-0
煤焦沥青,焦油沥青；煤沥青；煤膏,65996-93-2
煤焦油,,8007-45-2
煤气,,
煤油,火油；直馏煤油,8008-20-6
镁,,7439-95-4
"镁合金[片状、带状或条状,含镁＞50%]",,
镁铝粉,,
锰酸钾,,10294-64-1
迷迭香油,,8000-25-7
米许合金[浸在煤油中的],,
脒基亚硝氨基脒基叉肼[含水≥30%],,
脒基亚硝氨基脒基四氮烯[湿的，按质量含水或乙醇和水的混合物不低于30％],四氮烯；特屈拉辛,109-27-3
木防己苦毒素,苦毒浆果(木防己属),124-87-8
木馏油,木焦油,8021-39-4
钠,金属钠,7440-23-5
钠石灰[含氢氧化钠＞4%],碱石灰,8006-28-8
氖[压缩的或液化的],,2023453
萘,粗萘；精萘；萘饼,91-20-3
1-萘胺,α-萘胺；1-氨基萘,134-32-7
2-萘胺,β-萘胺；2-氨基萘,91-59-8
"1,8-萘二甲酸酐",萘酐,81-84-5
萘磺汞,双苯汞亚甲基二萘磺酸酯；汞加芬；双萘磺酸苯汞,14235-86-0
1-萘基硫脲,α-萘硫脲；安妥,86-88-4
1-萘甲腈,萘甲腈；α-萘甲腈,86-53-3
1-萘氧基二氯化膦,,91270-74-5
镍催化剂[干燥的],,
"2,2'-偶氮-二-(2,4-二甲基-4-甲氧基戊腈)",,15545-97-8
"2,2'-偶氮-二-(2,4-二甲基戊腈)",偶氮二异庚腈,920359
"2,2'-偶氮二-(2-甲基丙酸乙脂)",,3879-07-0
"2,2'-偶氮-二-(2-甲基丁腈)",,13472-08-7
"1,1'-偶氮-二-(六氢苄腈)","1,1'-偶氮二(环己基甲腈)",2094-98-6
偶氮二甲酰胺,发泡剂AC；二氮烯二甲酰胺,123-77-3
"2,2'-偶氮二异丁腈",发泡剂N；ADIN；2-甲基丙腈,78-67-1
哌啶,六氢吡啶；氮己环,110-89-4
哌嗪,对二氮己环,110-85-0
α-蒎烯,α-松油萜,80-56-8
β-蒎烯,,127-91-3
硼氢化钾,氢硼化钾,13762-51-1
硼氢化锂,氢硼化锂,16949-15-8
硼氢化铝,氢硼化铝,16962-07-5
硼氢化钠,氢硼化钠,16940-66-2
硼酸,,10043-35-3
硼酸三甲酯,三甲氧基硼烷,121-43-7
硼酸三乙酯,三乙氧基硼烷,150-46-9
硼酸三异丙酯,硼酸异丙酯,5419-55-6
铍粉,,7440-41-7
偏钒酸铵,,7803-55-6
偏钒酸钾,,13769-43-2
偏高碘酸钾,,
偏高碘酸钠,,
偏硅酸钠,三氧硅酸二钠,6834-92-0
偏砷酸,,10102-53-1
偏砷酸钠,,15120-17-9
漂白粉,,
漂粉精[含有效氯＞39%],高级晒粉,
葡萄糖酸汞,,63937-14-4
七氟丁酸,全氟丁酸,375-22-4
七硫化四磷,七硫化磷,12037-82-0
七溴二苯醚,,68928-80-3
"2,2’,3,3’,4,5’,6’-七溴二苯醚",,446255-22-7
"2,2’,3,4,4’,5’,6-七溴二苯醚",,207122-16-5
"1,4,5,6,7,8,8-七氯-3a,4,7,7a-四氢-4,7-亚甲基茚",七氯,76-44-8
汽油,,86290-81-5
乙醇汽油,,
甲醇汽油,,
铅汞齐,,
"1-羟环丁-1-烯-3,4-二酮",半方形酸,31876-38-7
"3-羟基-1,1-二甲基丁基过氧新癸酸[含量≤52%,含A型稀释剂≥48%]",,95718-78-8
"3-羟基-1,1-二甲基丁基过氧新癸酸[含量≤52%,在水中稳定弥散]",,
"3-羟基-1,1-二甲基丁基过氧新癸酸[含量≤77%,含A型稀释剂≥23%]",,
N-3-[1-羟基-2-(甲氨基)乙基]苯基甲烷磺酰胺甲磺酸盐,酰胺福林-甲烷磺酸盐,1421-68-7
3-羟基-2-丁酮,乙酰甲基甲醇,513-86-0
4-羟基-4-甲基-2-戊酮,双丙酮醇,123-42-2
2-羟基丙腈,乳腈,78-97-7
2-羟基丙酸甲酯,乳酸甲酯,547-64-8
2-羟基丙酸乙酯,乳酸乙酯,97-64-3
3-羟基丁醛,3-丁醇醛；丁间醇醛,107-89-1
羟基甲基汞,,1184-57-2
羟基乙腈,乙醇腈,107-16-4
羟基乙硫醚,α-乙硫基乙醇,110-77-0
3-(2-羟基乙氧基)-4-吡咯烷基-1-苯重氮氯化锌盐,,
2-羟基异丁酸乙酯,2-羟基-2-甲基丙酸乙酯,80-55-7
羟间唑啉(盐酸盐),,151615
N-(2-羟乙基)-N-甲基全氟辛基磺酰胺,,24448-09-7
氢,氢气,1333-74-0
氢碘酸,碘化氢溶液,10034-85-2
氢氟酸,氟化氢溶液,7664-39-3
氢过氧化蒎烷[56%＜含量≤100%],,28324-52-9
"氢过氧化蒎烷[含量≤56%,含A型稀释剂≥44%]",,
氢化钡,,13477-09-3
氢化钙,,7789-78-8
氢化锆,,7704-99-6
氢化钾,,7693-26-7
氢化锂,,7580-67-8
氢化铝,,7784-21-6
氢化铝锂,四氢化铝锂,16853-85-3
氢化铝钠,四氢化铝钠,13770-96-2
氢化镁,二氢化镁,7693-27-8
氢化钠,,7646-69-7
氢化钛,,7704-98-5
氢气和甲烷混合物,,
氢氰酸[含量≤20%],,74-90-8
氢氰酸蒸熏剂,,
氢溴酸,溴化氢溶液,10035-10-6
氢氧化钡,,17194-00-2
氢氧化钾,苛性钾,1310-58-3
氢氧化钾溶液[含量≥30%],,
氢氧化锂,,1310-65-2
氢氧化锂溶液,,
氢氧化钠,苛性钠；烧碱,1310-73-2
氢氧化钠溶液[含量≥30%],,
氢氧化铍,,13327-32-7
氢氧化铷,,1310-82-3
氢氧化铷溶液,,
氢氧化铯,,21351-79-1
氢氧化铯溶液,,
氢氧化铊,,17026-06-1
柴油,,
氰,氰气,460-19-5
氰氨化钙[含碳化钙＞0.1%],石灰氮,156-62-7
氰胍甲汞,氰甲汞胍,502-39-6
氰化钡,,542-62-1
氰化碘,碘化氰,506-78-5
氰化钙,,592-01-8
氰化镉,,542-83-6
氰化汞,氰化高汞；二氰化汞,592-04-1
氰化汞钾,汞氰化钾；氰化钾汞,591-89-9
氰化钴(Ⅱ),,542-84-7
氰化钴(Ⅲ),,14965-99-2
氰化钾,山奈钾,151-50-8
氰化金,,506-65-0
氰化钠,山奈,143-33-9
氰化钠铜锌,,
氰化镍,氰化亚镍,557-19-7
氰化镍钾,氰化钾镍,14220-17-8
氰化铅,,592-05-2
氰化氢,无水氢氰酸,74-90-8
氰化铈,,
氰化铜,氰化高铜,14763-77-0
氰化锌,,557-21-1
