品名,别名,CAS号
"1,1-二-(叔丁基过氧)-3,3,5-三甲基环己烷[含量≤32%,含A型稀释剂≥26%,含B型稀释剂≥42%]",,
"1,1-二-(叔丁基过氧)-3,3,5-三甲基环己烷[含量≤57%,含A型稀释剂≥43%]",,
"1,1-二-(叔丁基过氧)-3,3,5-三甲基环己烷[含量≤57%，含惰性固体≥43%]",,
"1,1-二-(叔丁基过氧)-3,3,5-三甲基环己烷[含量≤77%,含B型稀释剂≥23%]",,
"1,1-二-(叔丁基过氧)-3,3,5-三甲基环己烷[含量≤90%,含A型稀释剂≥10%]",,
"2,2-二-(叔丁基过氧)丙烷[含量≤42%,含A型稀释剂≥13%,惰性固体含量≥45%]",,4262-61-7
"2,2-二-(叔丁基过氧)丙烷[含量≤52%,含A型稀释剂≥48%]",,
"3,3-二-(叔丁基过氧)丁酸乙酯[77%＜含量≤100%]","3,3-双-(过氧化叔丁基)丁酸乙酯",55794-20-2
"3,3-二-(叔丁基过氧)丁酸乙酯[含量≤52%]",,
"3,3-二-(叔丁基过氧)丁酸乙酯[含量≤77%,含A型稀释剂≥23%]",,
"2,2-二-(叔丁基过氧)丁烷[含量≤52%,含A型稀释剂≥48%]",,2167-23-9
"1,1-二-(叔丁基过氧)环己烷[80%＜含量≤100%]","1,1-双-(过氧化叔丁基)环己烷",3006-86-8
"1,1-二-(叔丁基过氧)环己烷[52%＜含量≤80%,含A型稀释剂≥20%]",,
"1,1-二-(叔丁基过氧)环己烷[42%＜含量≤52%,含A型稀释剂≥48%]",,
"1,1-二-(叔丁基过氧)环己烷[含量≤13%,含A型稀释剂≥13%,含B型稀释剂≥74%]",,
"1,1-二-(叔丁基过氧)环己烷[含量≤27%,含A型稀释剂≥25%]",,
"1,1-二-(叔丁基过氧)环己烷[含量≤42%,含A型稀释剂≥13%,惰性固体含量≥45%]",,
"1,1-二-(叔丁基过氧)环己烷[含量≤42%,含A型稀释剂≥58%]",,
"1,1-二-(叔丁基过氧)环己烷[含量≤72%,含B型稀释剂≥28%]",,
"1,1-二-(叔丁基过氧)环己烷和过氧化(2-乙基己酸)叔丁酯的混合物[1,1-二-(叔丁基过氧)环己烷含量≤43%,过氧化(2-乙基己酸)叔丁酯含量≤16%,含A型稀释剂≥41%]",,
"二-(叔丁基过氧)邻苯二甲酸酯[糊状,含量≤52%]",,
"二-(叔丁基过氧)邻苯二甲酸酯[42%＜含量≤52%,含A型稀释剂≥48%]",,
"二-(叔丁基过氧)邻苯二甲酸酯[含量≤42%,含A型稀释剂≥58%]",,
"3,3-二-(叔戊基过氧)丁酸乙酯[含量≤67%,含A型稀释剂≥33%]",,67567-23-1
"2,2-二-(叔戊基过氧)丁烷[含量≤57%,含A型稀释剂≥43%]",,13653-62-8
"4,4’-二氨基-3,3’-二氯二苯基甲烷",,101-14-4
"3,3'-二氨基二丙胺","二丙三胺；3,3'-亚氨基二丙胺；三丙撑三胺",56-18-8
"2,4-二氨基甲苯","甲苯-2,4-二胺；2,4-甲苯二胺",95-80-7
"2,5-二氨基甲苯","甲苯-2,5-二胺；2,5-甲苯二胺",95-70-5
"2,6-二氨基甲苯","甲苯-2,6-二胺；2,6-甲苯二胺",823-40-5
"4,4'-二氨基联苯",联苯胺；二氨基联苯,92-87-5
二氨基镁,,7803-54-5
二苯胺,,122-39-4
二苯胺硫酸溶液,,
二苯基胺氯胂,吩吡嗪化氯；亚当氏气,578-94-9
二苯基二氯硅烷,二苯二氯硅烷,29498
二苯基二硒,,1666-13-3
二苯基汞,二苯汞,587-85-9
二苯基甲烷二异氰酸酯,MDI,26447-40-5
"二苯基甲烷-4,4'-二异氰酸酯","亚甲基双(4,1-亚苯基)二异氰酸酯；4,4'-二异氰酸二苯甲烷",101-68-8
二苯基氯胂,氯化二苯胂,712-48-1
二苯基镁,,555-54-4
"2-(二苯基乙酰基)-2,3-二氢-1,3-茚二酮","2-(2,2-二苯基乙酰基)-1,3-茚满二酮；敌鼠",82-66-6
二苯甲基溴,溴二苯甲烷；二苯溴甲烷,776-74-9
"1,1-二苯肼",不对称二苯肼,530-50-7
"1,2-二苯肼",对称二苯肼,122-66-7
二苄基二氯硅烷,,18414-36-3
二丙硫醚,正丙硫醚；二丙基硫；硫化二正丙基,111-47-7
二碘化苯胂,苯基二碘胂,6380-34-3
二碘化汞,碘化汞；碘化高汞；红色碘化汞,7774-29-0
二碘甲烷,,27704
"N,N-二丁基苯胺",,613-29-6
二丁基二(十二酸)锡,二丁基二月桂酸锡；月桂酸二丁基锡,77-58-7
二丁基二氯化锡,,683-18-1
二丁基氧化锡,氧化二丁基锡,818-08-6
"S,S´-(1,4-二噁烷2,3-二基)O,O,O´,O´-四乙基双(二硫代磷酸酯)",敌噁磷,78-34-2
"1,3-二氟-2-丙醇",,453-13-4
"1,2-二氟苯",邻二氟苯,367-11-3
"1,3-二氟苯",间二氟苯,372-18-9
"1,4-二氟苯",对二氟苯,540-36-3
"1,3-二氟丙-2-醇(Ⅰ)与1-氯-3-氟丙-2-醇(Ⅱ)的混合物",鼠甘伏；甘氟,8065-71-2
二氟化氧,一氧化二氟,7783-41-7
二氟甲烷,R32,27672
二氟磷酸[无水],二氟代磷酸,13779-41-4
"1,1-二氟乙烷",R152a,75-37-6
"1,1-二氟乙烯",R1132a；偏氟乙烯,75-38-7
二甘醇双(碳酸烯丙酯)和过二碳酸二异丙酯的混合物[二甘醇双(碳酸烯丙酯)≥88%，过二碳酸二异丙酯≤12%],,
二环庚二烯,"2,5-降冰片二烯",121-46-0
二环己胺,,101-83-7
"1,3-二磺酰肼苯",,26747-93-3
β-二甲氨基丙腈,2-(二甲胺基)乙基氰,1738-25-6
